26-04-2025, 373.6
27-04-2025, 356.16
28-04-2025, 345.96
29-04-2025, 364.17
30-04-2025, 363.53
01-05-2025, 366.11
02-05-2025, 361.15
03-05-2025, 382.69
04-05-2025, 363.24
05-05-2025, 356.16
06-05-2025, 353.48
07-05-2025, 372.53
08-05-2025, 382.93
09-05-2025, 421.67
10-05-2025, 410.19
11-05-2025, 430.35
12-05-2025, 408.07
13-05-2025, 410.85
14-05-2025, 410.93
15-05-2025, 402.32
16-05-2025, 395.15
17-05-2025, 396.93
18-05-2025, 391.7
19-05-2025, 404.98
20-05-2025, 392.96
21-05-2025, 394.07
22-05-2025, 407.47
23-05-2025, 444.72
24-05-2025, 428.01
25-05-2025, 421.6
26-05-2025, 422.59
27-05-2025, 415.22
28-05-2025, 414.35
29-05-2025, 418.75
30-05-2025, 409.83
31-05-2025, 400.12
01-06-2025, 414.51
02-06-2025, 404.43
03-06-2025, 403.99
04-06-2025, 401.86
05-06-2025, 401.22
06-06-2025, 385.69
07-06-2025, 396.43
08-06-2025, 409.5
09-06-2025, 411.6
10-06-2025, 425.79
11-06-2025, 437.94
12-06-2025, 428.94
13-06-2025, 425.55
14-06-2025, 448.23
15-06-2025, 430.62
16-06-2025, 461.45
17-06-2025, 467.24
18-06-2025, 464.58
19-06-2025, 459.03
20-06-2025, 499.16
21-06-2025, 473.62
22-06-2025, 463.55
23-06-2025, 454.84
24-06-2025, 463.42
25-06-2025, 453.68
26-06-2025, 481.49
27-06-2025, 488.55
28-06-2025, 505.09
29-06-2025, 492.25
30-06-2025, 503.92
01-07-2025, 505.9
02-07-2025, 500.16
03-07-2025, 509.76
04-07-2025, 496.81
05-07-2025, 484.45
06-07-2025, 489.49
07-07-2025, 492.14
08-07-2025, 495.98
09-07-2025, 501.37
10-07-2025, 515.39
11-07-2025, 518.15
12-07-2025, 531.85
13-07-2025, 506.55
14-07-2025, 507.62
15-07-2025, 504.88
16-07-2025, 497.35
17-07-2025, 499.3
18-07-2025, 501.38
19-07-2025, 514.31
20-07-2025, 513.57
21-07-2025, 548.06
22-07-2025, 523.41
23-07-2025, 526.01
24-07-2025, 512.18
25-07-2025, 511.96
26-07-2025, 556.97
27-07-2025, 560.22
28-07-2025, 590.11
29-07-2025, 570.38
30-07-2025, 563.47
31-07-2025, 590.9
01-08-2025, 562.02
02-08-2025, 535.23
03-08-2025, 520.19
04-08-2025, 544.37
05-08-2025, 574.37
06-08-2025, 551.41
07-08-2025, 571.05
08-08-2025, 582.32
09-08-2025, 586.56
10-08-2025, 568.41
11-08-2025, 570.85
12-08-2025, 579.25
13-08-2025, 618.75
14-08-2025, 616.99
15-08-2025, 594.31
16-08-2025, 592.46
17-08-2025, 587.79
18-08-2025, 583.28
19-08-2025, 569.44
20-08-2025, 548.09
21-08-2025, 560.42
22-08-2025, 553.78
23-08-2025, 599.94
24-08-2025, 591.01
25-08-2025, 584.37
26-08-2025, 544.62
27-08-2025, 550.74
28-08-2025, 550.1
29-08-2025, 557.62
30-08-2025, 531.55
31-08-2025, 553.45
01-09-2025, 544.8
02-09-2025, 544.26
03-09-2025, 584.58
04-09-2025, 602.96
05-09-2025, 586.73
06-09-2025, 606.86
07-09-2025, 595.27
08-09-2025, 603.26
09-09-2025, 588.22
10-09-2025, 580.43
11-09-2025, 580.46
12-09-2025, 595.99
13-09-2025, 599.12
14-09-2025, 598.49
15-09-2025, 601.1
16-09-2025, 593.61
17-09-2025, 598.78
18-09-2025, 617.93
19-09-2025, 624.35
20-09-2025, 600.53
21-09-2025, 594.92
22-09-2025, 594.18
23-09-2025, 567.86
24-09-2025, 557.27
25-09-2025, 556.13
26-09-2025, 536.06
27-09-2025, 548.42
28-09-2025, 544.2
29-09-2025, 556.2
30-09-2025, 561.15
01-10-2025, 559.91
02-10-2025, 592.86
03-10-2025, 595.02
04-10-2025, 609.54
05-10-2025, 590.55
06-10-2025, 594.12
07-10-2025, 599.6
08-10-2025, 576.84
09-10-2025, 583.23
10-10-2025, 580.21
11-10-2025, 520.25
12-10-2025, 500.51
13-10-2025, 541.64
14-10-2025, 546.68
15-10-2025, 539.25
16-10-2025, 522.54
17-10-2025, 503.98
18-10-2025, 470.03
19-10-2025, 468.31
20-10-2025, 472.86
